"title","company","link"
"Data Science Intern","Grainger","https://nyu.joinhandshake.com/jobs/5835106?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Engineer Intern","Roku, Inc.","https://nyu.joinhandshake.com/jobs/5532799?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Intern","Air Tox","https://nyu.joinhandshake.com/jobs/5805668?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Intern","Indeed","https://nyu.joinhandshake.com/jobs/5348815?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Intern","Roku, Inc.","https://nyu.joinhandshake.com/jobs/5532829?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Engineer Intern","Amazon","https://nyu.joinhandshake.com/jobs/5064381?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Scientist - Internship","Two Sigma","https://nyu.joinhandshake.com/jobs/5500507?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data & Analytics Sumer Intern","Ascot Group","https://nyu.joinhandshake.com/jobs/5668827?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data & Analytics Marketing Intern","Biz2Credit","https://nyu.joinhandshake.com/jobs/5838319?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Internship (Graduate)","CVS Health","https://nyu.joinhandshake.com/jobs/5481051?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Market Data Developer Internship","Tradeweb","https://nyu.joinhandshake.com/jobs/5585910?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Statistical/Data Mining Analyst Internship","Technical Consulting and Research, Inc.…","https://nyu.joinhandshake.com/jobs/1237538?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Intern, Python Developer - Data Analytics","Balyasny Asset Management","https://nyu.joinhandshake.com/jobs/5620187?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Developer Analyst – Data Services / Cloud","Instinet","https://nyu.joinhandshake.com/jobs/5732377?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Cell Data Internship (Summer 2022)","Tesla","https://nyu.joinhandshake.com/jobs/5743842?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Statistics & Data Science Research Intern","Nokia Bell Labs","https://nyu.joinhandshake.com/jobs/5548904?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Intern - H&B Data Analyst","Aon","https://nyu.joinhandshake.com/jobs/5506907?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Center Strategic Accounts Internship","Black Box Network Services","https://nyu.joinhandshake.com/jobs/5892383?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Analyst Intern - 2022 Summer","TikTok","https://nyu.joinhandshake.com/jobs/5375498?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Intern - Summer 2022","William Blair","https://nyu.joinhandshake.com/jobs/5690804?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Intern, Software Engineer - Data Platform","Balyasny Asset Management","https://nyu.joinhandshake.com/jobs/5798644?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Scientist Intern - Summer 2022","MATRiX ANALYTiCS CORPORATION","https://nyu.joinhandshake.com/jobs/5428027?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Summer Associate, Innovation - Data & Technology","The Rockefeller Foundation","https://nyu.joinhandshake.com/jobs/5680869?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Intern, Quantitative Researcher - Data Scientist","Balyasny Asset Management","https://nyu.joinhandshake.com/jobs/5730015?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Network Operations Data Analytics Intern","Spectrum","https://nyu.joinhandshake.com/jobs/5832194?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"[Remote] Data Analytics Intern - Summer 2022","Bankers Healthcare Group","https://nyu.joinhandshake.com/jobs/5518269?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Summer Associate, Innovation - Data Science Ventures","The Rockefeller Foundation","https://nyu.joinhandshake.com/jobs/5680852?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Summer 2022 Data Science Intern - Remote","Voya Financial","https://nyu.joinhandshake.com/jobs/5884463?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Development Internship - Data Infrastructure Engineering, Summer 2022…","Akuna Capital","https://nyu.joinhandshake.com/jobs/4887116?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Graduate Software Intern - Summer 2022 Linked Data","Raytheon Technologies","https://nyu.joinhandshake.com/jobs/5510359?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Software - Data Engineering & Analytics Internship (Fall 2022)","Tesla","https://nyu.joinhandshake.com/jobs/5896774?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Energy Service - Data Analyst Internship (Summer 2022)","Tesla","https://nyu.joinhandshake.com/jobs/5744141?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Software - Data Engineering & Analytics Internship (Summer 2022)…","Tesla","https://nyu.joinhandshake.com/jobs/5744211?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Commercial Energy – Sales Data Science Internship (Summer 2022)…","Tesla","https://nyu.joinhandshake.com/jobs/5744199?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Database Developer","FieldWorker.AI","https://nyu.joinhandshake.com/jobs/5725342?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"2022 Data Center Sourcing Specialist - Intern, AWS Energy Team","Amazon","https://nyu.joinhandshake.com/jobs/5764371?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Data Science & Machine Learning Engineering Internship & Co-op 2022","Wayfair","https://nyu.joinhandshake.com/jobs/5860128?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Fall 2022 Data Center GPU Performance Engineering Intern- 126046…","Advanced Micro Devices","https://nyu.joinhandshake.com/jobs/5667418?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Datacenter Customer Sales Intern","Samsung Semiconductor, Inc.","https://nyu.joinhandshake.com/jobs/5435692?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Intern - Strata Software Engineer (Dataplane)","Palo Alto Networks","https://nyu.joinhandshake.com/jobs/5848313?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Datacenter Operations Engineer Intern - 2022 Summer","TikTok","https://nyu.joinhandshake.com/jobs/5375502?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"2022 Data Center Sourcing Manager - MBA Intern, AWS Energy Team","Amazon","https://nyu.joinhandshake.com/jobs/5764499?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Deutsche Bank Analyst Programme - Technology, Data and Innovation - New York - 2022…","Deutsche Bank","https://nyu.joinhandshake.com/jobs/5140680?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Summer 2022 Data Center GPU Performance Engineering Co-op/Intern- 126045…","Advanced Micro Devices","https://nyu.joinhandshake.com/jobs/5666938?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Evidera Internship Program – Data Analytics, Peri- and Post Approval Studies (PPAS)…","Evidera","https://nyu.joinhandshake.com/jobs/5884609?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Deutsche Bank Analyst Internship Programme – Technology, Data and Innovation - New York – 2022 Summer…","Deutsche Bank","https://nyu.joinhandshake.com/jobs/5140675?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Marketing Internship Experience 2.A: Text Data Mining, Analytics, and Optimization for Advertising (Prerequisites: separate ML and NLP classes)…","Bashpole Software, Inc., a 100% Remote Work Company…","https://nyu.joinhandshake.com/jobs/5801282?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Machine Learning Engineer Intern - Summer 2022","William Blair","https://nyu.joinhandshake.com/jobs/5690801?ref=open-in-new-tab&search_id=99eb4c49-5ff5-45d7-b3b6-5cb78cb28391"
"Product Scientist Intern","Indeed","https://nyu.joinhandshake.com/jobs/5349026?ref=open-in-new-tab&search_id=99eb4c49-5ff5-45d7-b3b6-5cb78cb28391"
"Applied AI ML Software Engineer Intern","Nokia Bell Labs","https://nyu.joinhandshake.com/jobs/5622008?ref=open-in-new-tab&search_id=8a48c24a-fbc2-42a0-bce4-a3e148c44465"
"Machine Learning Engineer Intern - 2022 Summer","TikTok","https://nyu.joinhandshake.com/jobs/5373343?ref=open-in-new-tab&search_id=8a48c24a-fbc2-42a0-bce4-a3e148c44465"
"Machine Learning Summer Interns 2022","GRUBBRR","https://nyu.joinhandshake.com/jobs/5695726?ref=open-in-new-tab&search_id=8a48c24a-fbc2-42a0-bce4-a3e148c44465"
"Deep Learning Computer Vision Researcher-Scientist Intern","Samsung Semiconductor, Inc.","https://nyu.joinhandshake.com/jobs/5435658?ref=open-in-new-tab&search_id=239b9ebb-acca-40e8-9506-93bd0d426b6e"
"Life Science Summer Associate","DeciBio Consulting LLC","https://nyu.joinhandshake.com/jobs/5750776?ref=open-in-new-tab&search_id=239b9ebb-acca-40e8-9506-93bd0d426b6e"
"Conservation Science Traineeship","Hawk Mountain Sanctuary","https://nyu.joinhandshake.com/jobs/3360798?ref=open-in-new-tab&search_id=179c06ec-a24d-483a-92af-e32e167d8959"
"Computational Materials Scientist Intern","Samsung Semiconductor, Inc.","https://nyu.joinhandshake.com/jobs/5435398?ref=open-in-new-tab&search_id=78a4a500-0540-4aa0-80c7-f86381c0b2cb"
"Food Scientist Intern","SMK Global","https://nyu.joinhandshake.com/jobs/5753677?ref=open-in-new-tab&search_id=3d27c789-e1b8-4ad5-bb3d-4b9b01a25a9e"
"Applied AI ML Machine Vision Intern","Nokia Bell Labs","https://nyu.joinhandshake.com/jobs/5548864?ref=open-in-new-tab&search_id=3d27c789-e1b8-4ad5-bb3d-4b9b01a25a9e"
"Environmental Science Intern for Planning, Permitting, Licensing","TRC Companies","https://nyu.joinhandshake.com/jobs/5337586?ref=open-in-new-tab&search_id=e7cc3831-df72-4ca1-8660-43310ed05812"
"Machine Learning Research Intern","Samsung Semiconductor, Inc.","https://nyu.joinhandshake.com/jobs/5435553?ref=open-in-new-tab&search_id=02428835-e44b-419d-8780-21d587857e7e"
"Intern, AI/ML for the Wireless Communications PHY layer …","InterDigital","https://nyu.joinhandshake.com/jobs/5646085?ref=open-in-new-tab&search_id=9d38d1fb-d0b2-4a64-a768-3f309c928796"
"Intern, AI/ML for Wireless Communication","InterDigital","https://nyu.joinhandshake.com/jobs/5646233?ref=open-in-new-tab&search_id=9d38d1fb-d0b2-4a64-a768-3f309c928796"
"Marketing Internship Experience 1.A: Applied Cognitive Science, Psychology, and Philosophy for Writing Ads that Make a Difference…","Bashpole Software, Inc., a 100% Remote Work Company…","https://nyu.joinhandshake.com/jobs/5799033?ref=open-in-new-tab&search_id=9a1f056d-e895-4802-bbf5-1a38694ef872"
